[grapheme]aback	[celex]@-'b{k	[nettalk]xb@k-
[grapheme]designation	"[celex]""dE-zIg-'n1-SH"	[nettalk]dEzIgneS-xn
[grapheme]designing	[celex]dI-'z2-nIN	[nettalk]dIzA-nIG-
[grapheme]desirous	[celex]dI-'z2-@-r@s	[nettalk]dIzArx-s
[grapheme]desk	[celex]'dEsk	[nettalk]dEsk
[grapheme]desolate	[celex]'dE-s@-l1t	[nettalk]dEsxlxt-
[grapheme]desolation	"[celex]""dE-s@-'l1-SH"	[nettalk]dEsxleS-xn
[grapheme]despair	[celex]'dI-sp8R	[nettalk]dIsp@-r
[grapheme]desperado	"[celex]""dE-sp@-'r#-d5"	[nettalk]dEspxrado
[grapheme]desperate	[celex]'dE-sp@-r@t	[nettalk]dEspxrxt-
[grapheme]desperation	"[celex]""dE-sp@-'r1-SH"	[nettalk]dEspxreS-xn
[grapheme]despicable	[celex]dI-'spI-k@-bP	[nettalk]dIspIkxbL-
[grapheme]despise	[celex]dI-'sp2z	[nettalk]dIspAz-
[grapheme]despond	[celex]dI-'spQnd	[nettalk]dIspand
[grapheme]despot	[celex]'dE-spQt	[nettalk]dEspxt
[grapheme]despotic	[celex]dE-'spQ-tIk	[nettalk]dEspatIk
[grapheme]despotism	[celex]'dE-sp@-tI-z@m	[nettalk]dEspxtIzM
[grapheme]dessert	[celex]dI-'z3t	[nettalk]dIz--Rt
[grapheme]destination	"[celex]""dE-stI-'n1-SH"	[nettalk]dEstxneS-xn
[grapheme]destine	[celex]'dE-stIn	[nettalk]dEstxn-
[grapheme]destiny	[celex]'dE-stI-nI	[nettalk]dEstxni
[grapheme]destitute	[celex]'dE-stI-tjut	[nettalk]dEstxtYt-
[grapheme]destitution	"[celex]""dE-stI-'tju-SH"	[nettalk]dEstxtYS-xn
[grapheme]destroy	[celex]dI-'str4	[nettalk]dIstrO-
[grapheme]destructible	[celex]dI-'strVk-t@-bP	[nettalk]dIstrxktxbL-
[grapheme]desuetude	[celex]dI-'sju-I-tjud	[nettalk]dEswItYd-
[grapheme]desultory	[celex]'dE-s@l-t@-rI	[nettalk]dEs^ltori
[grapheme]detach	[celex]dI-'t{J	[nettalk]dIt@C-
[grapheme]detachment	[celex]dI-'t{J-m@nt	[nettalk]dIt@C-mxnt
[grapheme]detail	[celex]'di-t1l	[nettalk]dIte-l
[grapheme]detain	[celex]dI-'t1n	[nettalk]dIte-n
[grapheme]detective	[celex]dI-'tEk-tIv	[nettalk]dItEktIv-
[grapheme]detente	[celex]d1-'tqnt	[nettalk]detant-
[grapheme]detention	[celex]dI-'tEn-SH	[nettalk]dItEnC-xn
[grapheme]determinable	[celex]dI-'t3-mI-n@-bP	[nettalk]dIt-RmxnxbL-
[grapheme]determination	"[celex]dI-""t3-mI-'n1-SH"	[nettalk]dIt-RmxneS-xn
[grapheme]determine	[celex]dI-'t3-mIn	[nettalk]dIt-Rmxn-
[grapheme]deterrence	[celex]dI-'tE-r@ns	[nettalk]dIt-R-xns-
[grapheme]detest	[celex]dI-'tEst	[nettalk]dItEst
[grapheme]detestation	"[celex]""di-tE-'st1-SH"	[nettalk]ditEsteS-xn
[grapheme]dethrone	[celex]dI-'Tr5n	[nettalk]dIT-ron-
[grapheme]detonate	[celex]'dE-t@-n1t	[nettalk]dEt-Net-
[grapheme]detonation	"[celex]""dE-t@-'n1-SH"	[nettalk]dEt-NeS-xn
[grapheme]detour	"[celex]'di-""t9R"	[nettalk]ditU-r
[grapheme]detrain	"[celex]""di-'tr1n"	[nettalk]ditre-n
[grapheme]detriment	[celex]'dE-trI-m@nt	[nettalk]dEtrxmxnt
[grapheme]detrimental	"[celex]""dE-trI-'mEn-tP"	[nettalk]dEtrxmEnt-L
[grapheme]detritus	[celex]dI-'tr2-t@s	[nettalk]dItrAtxs
[grapheme]deuce	[celex]'djus	[nettalk]dY-s-
[grapheme]devalue	"[celex]""di-'v{l-ju"	[nettalk]div@lY-
[grapheme]devastate	[celex]'dE-v@-st1t	[nettalk]dEvxstet-
[grapheme]devastation	"[celex]""dE-v@-'st1-SH"	[nettalk]dEvxsteS-xn
[grapheme]develop	[celex]dI-'vE-l@p	[nettalk]dIvElxp
[grapheme]deviant	[celex]'di-vj@nt	[nettalk]divixnt
[grapheme]deviate	[celex]'di-vI-1t	[nettalk]diviet-
[grapheme]deviation	"[celex]""di-vI-'1-SH"	[nettalk]divieS-xn
[grapheme]device	[celex]dI-'v2s	[nettalk]dIvAs-
[grapheme]devil	[celex]'dE-vP	[nettalk]dEv-L
[grapheme]devilment	[celex]'dE-vP-m@nt	[nettalk]dEv-Lmxnt
[grapheme]devious	[celex]'di-vj@s	[nettalk]divix-s
[grapheme]devise	[celex]dI-'v2z	[nettalk]dIvAz-
[grapheme]devitalize	"[celex]""di-'v2-t@-l2z"	[nettalk]divAt-LAz-
[grapheme]devoid	[celex]dI-'v4d	[nettalk]dIvO-d
[grapheme]devolution	"[celex]""di-v@-'lu-SH"	[nettalk]dEvxluS-xn
[grapheme]devotee	"[celex]""dE-v5-'ti"	[nettalk]dEvxti-
[grapheme]devotion	[celex]dI-'v5-SH	[nettalk]dIvoS-xn
[grapheme]devour	[celex]dI-'v6-@R	[nettalk]dIvW-r
[grapheme]dew	[celex]'dju	[nettalk]dY-
[grapheme]dexterity	[celex]dEk-'stE-r@-tI	[nettalk]dEXtErxti
[grapheme]dexterous	[celex]'dEk-st@-r@s	[nettalk]dEXtxrx-s
[grapheme]dextrose	[celex]'dEks-tr5s	[nettalk]dEXtros-
[grapheme]dhow	[celex]'d6	[nettalk]d-W-
[grapheme]diabetes	"[celex]""d2-@-'bi-tiz"	[nettalk]dAxbitiz
[grapheme]diadem	[celex]'d2-@-dEm	[nettalk]dAxdEm
[grapheme]diaeresis	[celex]d2-'E-rI-sIs	[nettalk]dAE-rxsxs
[grapheme]diagnose	[celex]'d2-@g-n5z	[nettalk]dAIgnos-
[grapheme]diagnosis	"[celex]""d2-@g-'n5-sIs"	[nettalk]dAIgnosxs
[grapheme]diagnostic	"[celex]""d2-@g-'nQ-stIk"	[nettalk]dAIgnastIk
[grapheme]diagonal	[celex]d2-'{-g@-nP	[nettalk]dA@gxn-L
[grapheme]diagram	[celex]'d2-@-gr{m	[nettalk]dAxgr@m
[grapheme]diagrammatic	"[celex]""d2-@-gr@-'m{-tIk"	[nettalk]dAxgrxm-@tIk
[grapheme]dial	[celex]'d2-@l	[nettalk]dA-L
[grapheme]dialect	[celex]'d2-@-lEkt	[nettalk]dAxlEkt
[grapheme]dialectic	"[celex]""d2-@-'lEk-tIk"	[nettalk]dAxlEktIk
[grapheme]diameter	[celex]d2-'{-mI-t@R	[nettalk]dA@mxt-R
[grapheme]diametrically	"[celex]""d2-@-'mE-trI-k@-lI"	[nettalk]dAxmEtrIkxl-i
[grapheme]diamond	[celex]'d2-@-m@nd	[nettalk]dAxmxnd
[grapheme]diaper	[celex]'d2-@-p@R	[nettalk]dAxp-R
[grapheme]diaphanous	[celex]d2-'{-f@-n@s	[nettalk]dA@f-xnx-s
[grapheme]diaphragm	[celex]'d2-@-fr{m	[nettalk]dAxf-r@-m
[grapheme]diarist	[celex]'d2-@-rIst	[nettalk]dAxrxst
[grapheme]diarrhoea	"[celex]""d2-@-'r7"	[nettalk]dAxr---ix
[grapheme]diary	[celex]'d2-@-rI	[nettalk]dAxri
[grapheme]diatribe	[celex]'d2-@-tr2b	[nettalk]dAxtrAb-
[grapheme]dibble	[celex]'dI-bP	[nettalk]dIb-L-
[grapheme]dice	[celex]'d2s	[nettalk]dAs-
[grapheme]dichotomy	[celex]d2-'kQ-t@-mI	[nettalk]dAk-atxmi
[grapheme]dicker	[celex]'dI-k@R	[nettalk]dIk--R
[grapheme]dicky	[celex]'dI-kI	[nettalk]dIk-i
[grapheme]dictate	[celex]dIk-'t1t	[nettalk]dIktet-
[grapheme]dictation	[celex]dIk-'t1-SH	[nettalk]dIkteS-xn
[grapheme]dictator	[celex]dIk-'t1-t@R	[nettalk]dIktet-R
[grapheme]dictatorial	"[celex]""dIk-t@-'t$-r7l"	[nettalk]dIktxtori-L
[grapheme]dictatorship	[celex]dIk-'t1-t@-SIp	[nettalk]dIktet-RS-Ip
[grapheme]diction	[celex]'dIk-SH	[nettalk]dIkS-xn
[grapheme]dictionary	[celex]'dIk-S@n-rI	[nettalk]dIkS-xnEri
[grapheme]dictum	[celex]'dIk-t@m	[nettalk]dIktxm
[grapheme]did	[celex]'dId	[nettalk]dId
[grapheme]didactic	[celex]dI-'d{k-tIk	[nettalk]dAd@ktIk
[grapheme]die	[celex]'d2	[nettalk]dA-
[grapheme]dies	[celex]'d2z	[nettalk]dA-z
[grapheme]diet	[celex]'d2-@t	[nettalk]dAxt
[grapheme]dietary	[celex]'d2-@-t@-rI	[nettalk]dAxtEri
[grapheme]dietetics	"[celex]""d2-@-'tE-tIks"	[nettalk]dAxtEtIks
[grapheme]differ	[celex]'dI-f@R	[nettalk]dIf--R
[grapheme]difference	[celex]'dI-fr@ns	[nettalk]dIf-xrxns-
[grapheme]differential	"[celex]""dI-f@-'rEn-SP"	[nettalk]dIf-xrEnC--L
[grapheme]difficult	[celex]'dI-fI-k@lt	[nettalk]dIf-Ik^lt
[grapheme]diffident	[celex]'dI-fI-d@nt	[nettalk]dIf-xdxnt
[grapheme]diffuse	[celex]dI-'fjuz	[nettalk]dIf-Ys-
[grapheme]dig	[celex]'dIg	[nettalk]dIg
[grapheme]digest	[celex]dI-'_Est	[nettalk]dAJEst
[grapheme]digit	[celex]'dI-_It	[nettalk]dIJxt
[grapheme]dignified	[celex]'dIg-nI-f2d	[nettalk]dIgnxfA-d
[grapheme]dignity	[celex]'dIg-n@-tI	[nettalk]dIgnxti
[grapheme]digraph	[celex]'d2-gr#f	[nettalk]dAgr@f-
[grapheme]digress	[celex]d2-'grEs	[nettalk]dAgrEs-
[grapheme]dike	[celex]'d2k	[nettalk]dAk-
[grapheme]dilapidated	[celex]dI-'l{-pI-d1-tId	[nettalk]dxl@pxdetxd
[grapheme]dilate	[celex]d2-'l1t	[nettalk]dAlet-
[grapheme]dilation	[celex]d2-'l1-SH	[nettalk]dAleS-xn
[grapheme]dilatory	[celex]'dI-l@-t@-rI	[nettalk]dIlxtori
[grapheme]dilemma	[celex]dI-'lE-m@	[nettalk]dxlEm-x
[grapheme]dilettante	"[celex]""dI-lI-'t{n-tI"	[nettalk]dIlxt-anti
[grapheme]diligent	[celex]'dI-lI-_@nt	[nettalk]dIlxJxnt
[grapheme]dill	[celex]'dIl	[nettalk]dIl-
[grapheme]dilute	[celex]d2-'ljut	[nettalk]dAlut-
[grapheme]dim	[celex]'dIm	[nettalk]dIm
[grapheme]dime	[celex]'d2m	[nettalk]dAm-
[grapheme]dimension	[celex]dI-'mEn-SH	[nettalk]dxmEnS-xn
[grapheme]diminish	[celex]dI-'mI-nIS	[nettalk]dxmInIS-
[grapheme]diminution	"[celex]""dI-mI-'nju-SH"	[nettalk]dImxnYS-xn
[grapheme]diminutive	[celex]dI-'mI-njU-tIv	[nettalk]dxmInYtIv-
[grapheme]dimity	[celex]'dI-mI-tI	[nettalk]dImxti
[grapheme]dimmer	[celex]'dI-m@R	[nettalk]dIm--R
[grapheme]dimple	[celex]'dIm-pP	[nettalk]dImpL-
[grapheme]din	[celex]'dIn	[nettalk]dIn
[grapheme]dinar	[celex]'di-n#R	[nettalk]dInar
[grapheme]dine	[celex]'d2n	[nettalk]dAn-
[grapheme]diner	[celex]'d2-n@R	[nettalk]dAn-R
[grapheme]dinghy	[celex]'dIN-gI	[nettalk]dIGk-i
[grapheme]dingle	[celex]'dIN-gP	[nettalk]dIGgL-
[grapheme]dingy	[celex]'dIn-_I	[nettalk]dInJi
[grapheme]dinky	[celex]'dIN-kI	[nettalk]dIGki
[grapheme]dinner	[celex]'dI-n@R	[nettalk]dIn--R
[grapheme]dinosaur	[celex]'d2-n5-s$R	[nettalk]dAnxsc-r
[grapheme]dint	[celex]'dInt	[nettalk]dInt
[grapheme]diocesan	[celex]d2-'Q-sI-sH	[nettalk]dAasxsxn
[grapheme]diocese	[celex]'d2-@-sIs	[nettalk]dAxsxs-
[grapheme]dip	[celex]'dIp	[nettalk]dIp
[grapheme]diphtheria	[celex]dIf-'T7-r7	[nettalk]dIf-T-Irix
[grapheme]diphthong	[celex]'dIf-TQN	[nettalk]dIf-T-cG-
[grapheme]diploma	[celex]dI-'pl5-m@	[nettalk]dxplomx
[grapheme]diplomat	[celex]'dI-pl@-m{t	[nettalk]dIplxm@t
[grapheme]diplomatic	"[celex]""dI-pl@-'m{-tIk"	[nettalk]dIplxm@tIk
[grapheme]diplomatist	[celex]dI-'pl5-m@-tIst	[nettalk]dxplomxtxst
[grapheme]dipper	[celex]'dI-p@R	[nettalk]dIp--R
[grapheme]dipstick	"[celex]'dIp-""stIk"	[nettalk]dIpstIk-
[grapheme]dire	[celex]'d2-@R	[nettalk]dAr-
[grapheme]direct	[celex]dI-'rEkt	[nettalk]dxrEkt
[grapheme]direful	[celex]'d2-@-fUl	[nettalk]dAr-f^l
[grapheme]dirge	[celex]'d3_	[nettalk]d-RJ-
[grapheme]dirigible	[celex]'dI-rI-_@-bP	[nettalk]dIrxJxbL-
[grapheme]dirk	[celex]'d3k	[nettalk]d-Rk
[grapheme]dirndl	[celex]'d3n-dP	[nettalk]d-RndL
[grapheme]dirt	[celex]'d3t	[nettalk]d-Rt
[grapheme]disability	"[celex]""dIs-@-'bI-l@-tI"	[nettalk]dIsxbIlxti
[grapheme]disable	[celex]dIs-'1-bP	[nettalk]dIsebL-
[grapheme]disabuse	"[celex]""dIs-@-'bjuz"	[nettalk]dIsxbYz-
[grapheme]disadvantage	"[celex]""dIs-@d-'v#n-tI_"	[nettalk]dIsxdv@ntIJ-
[grapheme]disadvantageous	"[celex]""dIs-{d-v#n-'t1-_@s"	[nettalk]dIs@dv@nteJx--s
[grapheme]disaffect	"[celex]""dIs-@-'fEkt"	[nettalk]dIsxf-Ekt
[grapheme]disagree	"[celex]""dIs-@-'gri"	[nettalk]dIsxgri-
[grapheme]disallow	"[celex]""dIs-@-'l6"	[nettalk]dIsxl-W-
[grapheme]disapprobation	"[celex]""dIs-{-pr5-'b1-SH"	[nettalk]dIs@p-rxbeS-xn
[grapheme]disapproval	"[celex]""dIs-@-'pru-vP"	[nettalk]dIsxp-ruv-L
[grapheme]disarm	[celex]dIs-'#m	[nettalk]dIsarm
[grapheme]disarrange	"[celex]""dIs-@-'r1n_"	[nettalk]dIsxr-enJ-
[grapheme]disaster	[celex]dI-'z#-st@R	[nettalk]dIz@st-R
[grapheme]disavow	"[celex]""dIs-@-'v6"	[nettalk]dIsxvW-
[grapheme]disband	[celex]dIs-'b{nd	[nettalk]dIsb@nd
[grapheme]disbelieve	"[celex]""dIs-bI-'liv"	[nettalk]dIsbIli-v-
[grapheme]disburden	[celex]dIs-'b3-dH	[nettalk]dIsb-Rd-N
[grapheme]disburse	[celex]dIs-'b3s	[nettalk]dIsb-Rs-
[grapheme]disc	[celex]'dIsk	[nettalk]dIsk
[grapheme]discard	[celex]dIs-'k#d	[nettalk]dIskard
[grapheme]discern	[celex]dI-'s3n	[nettalk]dIs--Rn
[grapheme]discharge	[celex]dIs-'J#_	[nettalk]dIsC-arJ-
[grapheme]disciple	[celex]dI-'s2-pP	[nettalk]dIs-ApL-
[grapheme]disciplinarian	"[celex]""dI-sI-plI-'n8-r7n"	[nettalk]dIs-xplxnErixn
[grapheme]disciplinary	[celex]'dI-sI-plI-n@-rI	[nettalk]dIs-xplxnEri
[grapheme]discipline	[celex]'dI-sI-plIn	[nettalk]dIs-xplxn-
[grapheme]disclaim	[celex]dIs-'kl1m	[nettalk]dIskle-m
[grapheme]discomfit	[celex]dIs-'kVm-fIt	[nettalk]dIsk^mfxt
[grapheme]discomfiture	[celex]dIs-'kVm-fI-J@R	[nettalk]dIsk^mfxCUr-
[grapheme]discomfort	[celex]dIs-'kVm-f@t	[nettalk]dIsk^mf-Rt
[grapheme]discommode	"[celex]""dIs-k@-'m5d"	[nettalk]dIskxm-od-
[grapheme]disconsolate	[celex]dIs-'kQn-s@-l@t	[nettalk]dIskansxlxt-
[grapheme]discontent	"[celex]""dIs-k@n-'tEnt"	[nettalk]dIskxntEnt
[grapheme]discontinuity	"[celex]""dIs-kQn-tI-'nju-@-tI"	[nettalk]dIskant-NYxti
[grapheme]discontinuous	"[celex]""dIs-k@n-'tI-nj9s"	[nettalk]dIskxntInYx-s
[grapheme]discord	[celex]'dI-sk$d	[nettalk]dIskcrd
[grapheme]discordant	[celex]dI-'sk$-d@nt	[nettalk]dIskcrd-Nt
[grapheme]discount	[celex]'dIs-k6nt	[nettalk]dIskW-nt
[grapheme]discountenance	[celex]dI-'sk6n-tI-n@ns	[nettalk]dIskW-ntxnxns-
[grapheme]discourage	[celex]dI-'skV-rI_	[nettalk]dIsk--RIJ-
[grapheme]discourse	[celex]'dIs-k$s	[nettalk]dIsko-rs-
[grapheme]discourteous	[celex]dIs-'k3-tj@s	[nettalk]dIsk--Rtix-s
[grapheme]discover	[celex]dI-'skV-v@R	[nettalk]dIsk^v-R
[grapheme]disgruntle	[celex]dIs-'grVn-tP	[nettalk]dIsgr^ntL-
[grapheme]disgust	[celex]dIs-'gVst	[nettalk]dIsg^st
[grapheme]dish	[celex]'dIS	[nettalk]dIS-
[grapheme]disharmony	"[celex]""dIs-'h#-m@-nI"	[nettalk]dIsharmxni
[grapheme]dishcloth	[celex]'dIS-klQT	[nettalk]dIS-klcT-
[grapheme]dishearten	[celex]dIs-'h#-tH	[nettalk]dIsh-art-N
[grapheme]dishonest	[celex]dIs-'Q-nIst	[nettalk]dIs-anxst
[grapheme]disillusion	"[celex]""dIs-I-'lu-ZH"	[nettalk]dIsxl-uZ-xn
[grapheme]disinclination	"[celex]""dIs-In-klI-'n1-SH"	[nettalk]dIsInklxneS-xn
[grapheme]disincline	"[celex]""dIs-In-'kl2n"	[nettalk]dIs-NklAn-
[grapheme]disintegrate	[celex]dIs-'In-tI-gr1t	[nettalk]dIsIntxgret-
[grapheme]disinter	"[celex]""dIs-In-'t3R"	[nettalk]dIs-Nt-R
[grapheme]disinterested	[celex]dIs-'In-tr@-stId	[nettalk]dIsIntxrxstxd
[grapheme]dislike	[celex]dIs-'l2k	[nettalk]dIslAk-
[grapheme]dislocate	[celex]'dIs-l5-k1t	[nettalk]dIsloket-
[grapheme]dislocation	"[celex]""dIs-l5-'k1-SH"	[nettalk]dIslokeS-xn
[grapheme]dislodge	[celex]dIs-'lQ_	[nettalk]dIsla-J-
[grapheme]dismal	[celex]'dIz-m@l	[nettalk]dIzm-L
[grapheme]dismantle	[celex]dIs-'m{n-tP	[nettalk]dIsm@ntL-
[grapheme]disobedience	"[celex]""dIs-@-'bi-dj@ns"	[nettalk]dIsxbidixns-
[grapheme]disorder	[celex]dIs-'$-d@R	[nettalk]dIscrd-R
[grapheme]disorganize	[celex]dIs-'$-g@-n2z	[nettalk]dIscrgxnAz-
[grapheme]disown	[celex]dIs-'5n	[nettalk]dIso-n
[grapheme]disparate	[celex]'dI-sp@-r@t	[nettalk]dIsp@rxt-
[grapheme]disparity	[celex]dI-'sp{-r@-tI	[nettalk]dIsp@rxti
[grapheme]dispassionate	[celex]dI-'sp{-SH-@t	[nettalk]dIsp@S--xnxt-
[grapheme]dispatch	[celex]dI-'sp{J	[nettalk]dIsp@-C-
[grapheme]dispel	[celex]dI-'spEl	[nettalk]dIspEl
[grapheme]dispensation	"[celex]""dI-spEn-'s1-SH"	[nettalk]dIspxnseS-xn
[grapheme]dispense	[celex]dI-'spEns	[nettalk]dIspEns-
[grapheme]display	[celex]dI-'spl1	[nettalk]dIsple-
[grapheme]displease	[celex]dIs-'pliz	[nettalk]dIspli-z-
[grapheme]disport	[celex]dI-'sp$t	[nettalk]dIsport
[grapheme]disposal	[celex]dI-'sp5-zP	[nettalk]dIspoz-L
[grapheme]disposition	"[celex]""dI-sp@-'zI-SH"	[nettalk]dIspxzIS-xn
[grapheme]dispossess	"[celex]""dIs-p@-'zEs"	[nettalk]dIspxz-Es-
[grapheme]disproportion	"[celex]""dIs-pr@-'p$-SH"	[nettalk]dIsprxporS-xn
[grapheme]disprove	"[celex]""dIs-'pruv"	[nettalk]dIspruv-
[grapheme]disputable	[celex]dI-'spjU-t@-bP	[nettalk]dIspYtxbL-
[grapheme]disputant	[celex]dI-'spju-t@nt	[nettalk]dIspYt-Nt
[grapheme]disputation	"[celex]""dI-spju-'t1-SH"	[nettalk]dIspYteS-xn
[grapheme]dispute	[celex]dI-'spjut	[nettalk]dIspYt-
[grapheme]disqualify	[celex]dIs-'kwQ-lI-f2	[nettalk]dIskwalxfA
[grapheme]disquiet	[celex]dIs-'kw2-@t	[nettalk]dIskwAxt
[grapheme]disquietude	[celex]dIs-'kw2-@-tjud	[nettalk]dIskwAxtYd-
[grapheme]disquisition	"[celex]""dIs-kwI-'zI-SH"	[nettalk]dIskwxzIS-xn
[grapheme]disregard	"[celex]""dIs-rI-'g#d"	[nettalk]dIsrIgard
[grapheme]disrepair	"[celex]""dIs-rI-'p8R"	[nettalk]dIsrIp@-r
[grapheme]disreputable	[celex]dIs-'rE-pjU-t@-bP	[nettalk]dIsrEpYtxbL-
[grapheme]disrepute	"[celex]""dIs-rI-'pjut"	[nettalk]dIsrIpYt-
[grapheme]disrobe	"[celex]""dIs-'r5b"	[nettalk]dIsrob-
[grapheme]dissatisfaction	"[celex]""dIs-""s{-tIs-'f{k-SH"	[nettalk]dIs-@txsf@kS-xn
[grapheme]dissatisfy	"[celex]""dIs-'s{-tIs-f2"	[nettalk]dIs-@txsfA
[grapheme]dissect	[celex]dI-'sEkt	[nettalk]dIs-Ekt
[grapheme]dissemble	[celex]dI-'sEm-bP	[nettalk]dIs-EmbL-
[grapheme]disseminate	[celex]dI-'sE-mI-n1t	[nettalk]dIs-Emxnet-
[grapheme]dissension	[celex]dI-'sEn-SH	[nettalk]dIs-EnS-xn
[grapheme]dissent	[celex]dI-'sEnt	[nettalk]dIs-Ent
[grapheme]dissertation	"[celex]""dI-s@-'t1-SH"	[nettalk]dIs--RteS-xn
[grapheme]disservice	"[celex]""dIs-'s3-vIs"	[nettalk]dIs--Rvxs-
[grapheme]dissever	[celex]dIs-'sE-v@R	[nettalk]dIs-Ev-R
[grapheme]dissident	[celex]'dI-sI-d@nt	[nettalk]dIs-xdxnt
[grapheme]dissimilar	"[celex]""dI-'sI-mI-l@R"	[nettalk]dIs-Imxl-R
[grapheme]dissimulate	[celex]dI-'sIm-jU-l1t	[nettalk]dIs-ImYlet-
[grapheme]dissipate	[celex]'dI-sI-p1t	[nettalk]dIs-xpet-
[grapheme]dissipation	"[celex]""dI-sI-'p1-SH"	[nettalk]dIs-xpeS-xn
[grapheme]dissociate	[celex]dI-'s5-SI-1t	[nettalk]dIs-oSiet-
[grapheme]dissolute	[celex]'dI-s@-lut	[nettalk]dIs-xlut-
[grapheme]dissolution	"[celex]""dI-s@-'lu-SH"	[nettalk]dIs-xluS-xn
[grapheme]dissolve	[celex]dI-'zQlv	[nettalk]dIz-alv-
[grapheme]dissonance	[celex]'dI-s@-n@ns	[nettalk]dIs-xnxns-
[grapheme]dissuade	[celex]dI-'sw1d	[nettalk]dIs-wed-
[grapheme]distaff	[celex]'dI-st#f	[nettalk]dIst@f-
[grapheme]distance	[celex]'dI-st@ns	[nettalk]dIstxns-
[grapheme]distaste	"[celex]""dIs-'t1st"	[nettalk]dIstest-
[grapheme]distil	[celex]dI-'stIl	[nettalk]dIstIl
[grapheme]distillation	"[celex]""dI-stI-'l1-SH"	[nettalk]dIstxl-eS-xn
[grapheme]distinct	[celex]dI-'stINkt	[nettalk]dIstIGkt
[grapheme]distort	[celex]dI-'st$t	[nettalk]dIstcrt
[grapheme]distrait	[celex]dI-'str1	[nettalk]dIstre--
[grapheme]distraught	[celex]dI-'str$t	[nettalk]dIstrc---t
[grapheme]distress	[celex]dI-'strEs	[nettalk]dIstrEs-
[grapheme]distribute	[celex]dI-'strI-bjut	[nettalk]dIstrIbYt-
[grapheme]distribution	"[celex]""dIs-trI-'bju-SH"	[nettalk]dIstrxbYS-xn
[grapheme]distributor	[celex]dIs-'trI-bjU-t@R	[nettalk]dIstrIbYt-R
[grapheme]district	[celex]'dI-strIkt	[nettalk]dIstrIkt
[grapheme]distrust	[celex]dIs-'trVst	[nettalk]dIstr^st
[grapheme]disturb	[celex]dI-'st3b	[nettalk]dIst-Rb
[grapheme]disunite	"[celex]""dIs-ju-'n2t"	[nettalk]dIsYnAt-
[grapheme]disunity	"[celex]""dIs-'ju-n@-tI"	[nettalk]dIsYnxti
[grapheme]ditch	[celex]'dIJ	[nettalk]dI-C-
[grapheme]dither	[celex]'dI-D@R	[nettalk]dID--R
[grapheme]ditto	[celex]'dI-t5	[nettalk]dIt-o
[grapheme]ditty	[celex]'dI-tI	[nettalk]dIt-i
[grapheme]diuretic	"[celex]""d2-j9-'rE-tIk"	[nettalk]dAYrEtIk
[grapheme]diurnal	[celex]d2-'3-nP	[nettalk]dA-Rn-L
[grapheme]divagate	[celex]'d2-v@-g1t	[nettalk]dAvxget-
[grapheme]divagation	"[celex]""d2-v@-'g1-SH"	[nettalk]dAvxgeS-xn
[grapheme]divan	[celex]dI-'v{n	[nettalk]dAv@n
[grapheme]dive	[celex]'d2v	[nettalk]dAv-
[grapheme]diverge	[celex]d2-'v3_	[nettalk]dxv-RJ-
[grapheme]divers	[celex]'d2-v@z	[nettalk]dAv-Rz
[grapheme]diverse	[celex]d2-'v3s	[nettalk]dAv-Rs-
[grapheme]diversify	[celex]d2-'v3-sI-f2	[nettalk]dxv-RsxfA
[grapheme]divide	[celex]dI-'v2d	[nettalk]dxvAd-
[grapheme]dividend	[celex]'dI-vI-dEnd	[nettalk]dIvxdEnd
[grapheme]dividers	[celex]dI-'v2-d@z	[nettalk]dxvAd-Rz
[grapheme]divination	"[celex]""dI-vI-'n1-SH"	[nettalk]dIvxneS-xn
[grapheme]divine	[celex]dI-'v2n	[nettalk]dxvAn-
[grapheme]divinity	[celex]dI-'vI-n@-tI	[nettalk]dxvInxti
[grapheme]divisible	[celex]dI-'vI-z@-bP	[nettalk]dxvIzxbL-
[grapheme]division	[celex]dI-'vI-ZH	[nettalk]dxvIZ-xn
[grapheme]divisive	[celex]dI-'v2-sIv	[nettalk]dxvAsIv-
[grapheme]divisor	[celex]dI-'v2-z@R	[nettalk]dxvAz-R
[grapheme]divorce	[celex]dI-'v$s	[nettalk]dxvors-
[grapheme]divot	[celex]'dI-v@t	[nettalk]dIvxt
[grapheme]divulge	[celex]d2-'vVl_	[nettalk]dxv^lJ-
[grapheme]dizzy	[celex]'dI-zI	[nettalk]dIz-i
[grapheme]do	[celex]'du	[nettalk]du
[grapheme]dobbin	[celex]'dQ-bIn	[nettalk]dab-xn
[grapheme]docile	[celex]'d5-s2l	[nettalk]das-L-
[grapheme]docility	[celex]d5-'sI-l@-tI	[nettalk]dasIlxti
[grapheme]dock	[celex]'dQk	[nettalk]dak-
[grapheme]docket	[celex]'dQ-kIt	[nettalk]dak-xt
[grapheme]dockyard	[celex]'dQk-j#d	[nettalk]dak-yard
[grapheme]doctor	[celex]'dQk-t@R	[nettalk]dakt-R
[grapheme]doctorate	[celex]'dQk-t@-r@t	[nettalk]daktxrxt-
[grapheme]doctrinaire	"[celex]""dQk-trI-'n8R"	[nettalk]daktrxnE-r-
[grapheme]doctrine	[celex]'dQk-trIn	[nettalk]daktrxn-
[grapheme]document	[celex]'dQ-kjU-mEnt	[nettalk]dakYmxnt
[grapheme]documentary	"[celex]""dQ-kjU-'mEn-t@-rI"	[nettalk]dakYmEntxri
